,A,Ea,P [Pa],T [K],b,kb,kf
176,347850500.0,83680000.0,101324.99999999999,576.0,0.0,[0.],[8.97445125]
177,347850500.0,83680000.0,101325.00000000001,577.0,0.0,[0.],[9.25037522]
178,347850500.0,83680000.0,101325.0,578.0,0.0,[0.],[9.53378358]
179,347850500.0,83680000.0,101325.00000000001,579.0,0.0,[0.],[9.82485067]
180,347850500.0,83680000.0,101325.00000000001,580.0,0.0,[0.],[10.12375416]
181,347850500.0,83680000.0,101325.0,581.0,0.0,[0.],[10.43067511]
182,347850500.0,83680000.0,101325.0,582.0,0.0,[0.],[10.74579802]
183,347850500.0,83680000.0,101325.0,583.0,0.0,[0.],[11.06931086]
184,347850500.0,83680000.0,101325.0,584.0,0.0,[0.],[11.40140514]
185,347850500.0,83680000.0,101324.99999999999,585.0,0.0,[0.],[11.74227597]
186,347850500.0,83680000.0,101325.00000000003,586.0,0.0,[0.],[12.09212207]
187,347850500.0,83680000.0,101325.0,587.0,0.0,[0.],[12.45114584]
188,347850500.0,83680000.0,101325.0,588.0,0.0,[0.],[12.81955344]
189,347850500.0,83680000.0,101325.0,589.0,0.0,[0.],[13.1975548]
190,347850500.0,83680000.0,101325.0,590.0,0.0,[0.],[13.58536368]
191,347850500.0,83680000.0,101325.0,591.0,0.0,[0.],[13.98319776]
192,347850500.0,83680000.0,101325.0,592.0,0.0,[0.],[14.39127864]
193,347850500.0,83680000.0,101324.99999999999,593.0,0.0,[0.],[14.80983191]
194,347850500.0,83680000.0,101325.00000000001,594.0,0.0,[0.],[15.23908723]
195,347850500.0,83680000.0,101325.00000000001,595.0,0.0,[0.],[15.67927836]
196,347850500.0,83680000.0,101325.00000000001,596.0,0.0,[0.],[16.13064322]
197,347850500.0,83680000.0,101324.99999999999,597.0,0.0,[0.],[16.59342393]
198,347850500.0,83680000.0,101324.99999999999,598.0,0.0,[0.],[17.06786689]
199,347850500.0,83680000.0,101324.99999999999,599.0,0.0,[0.],[17.55422282]
200,347850500.0,83680000.0,101325.0,600.0,0.0,[0.],[18.05274684]
201,347850500.0,83680000.0,101324.99999999999,601.0,0.0,[0.],[18.56369846]
202,347850500.0,83680000.0,101325.00000000001,602.0,0.0,[0.],[19.08734174]
203,347850500.0,83680000.0,101325.00000000001,603.0,0.0,[0.],[19.62394524]
204,347850500.0,83680000.0,101325.0,604.0,0.0,[0.],[20.17378217]
205,347850500.0,83680000.0,101325.0,605.0,0.0,[0.],[20.73713038]
206,347850500.0,83680000.0,101325.0,606.0,0.0,[0.],[21.31427246]
207,347850500.0,83680000.0,101324.99999999999,607.0,0.0,[0.],[21.90549576]
208,347850500.0,83680000.0,101325.0,608.0,0.0,[0.],[22.5110925]
209,347850500.0,83680000.0,101325.00000000001,609.0,0.0,[0.],[23.13135979]
210,347850500.0,83680000.0,101325.00000000001,610.0,0.0,[0.],[23.7665997]
211,347850500.0,83680000.0,101325.00000000001,611.0,0.0,[0.],[24.41711933]
212,347850500.0,83680000.0,101325.0,612.0,0.0,[0.],[25.08323084]
213,347850500.0,83680000.0,101325.0,613.0,0.0,[0.],[25.76525156]
214,347850500.0,83680000.0,101325.0,614.0,0.0,[0.],[26.46350402]
215,347850500.0,83680000.0,101325.0,615.0,0.0,[0.],[27.17831601]
216,347850500.0,83680000.0,101324.99999999999,616.0,0.0,[0.],[27.91002065]
217,347850500.0,83680000.0,101325.00000000001,617.0,0.0,[0.],[28.65895645]
218,347850500.0,83680000.0,101325.00000000001,618.0,0.0,[0.],[29.42546738]
219,347850500.0,83680000.0,101325.0,619.0,0.0,[0.],[30.20990292]
220,347850500.0,83680000.0,101325.0,620.0,0.0,[0.],[31.01261815]
221,347850500.0,83680000.0,101324.99999999999,621.0,0.0,[0.],[31.83397377]
222,347850500.0,83680000.0,101325.00000000001,622.0,0.0,[0.],[32.67433619]
223,347850500.0,83680000.0,101325.00000000001,623.0,0.0,[0.],[33.53407763]
224,347850500.0,83680000.0,101325.00000000001,624.0,0.0,[0.],[34.4135761]
225,347850500.0,83680000.0,101325.0,625.0,0.0,[0.],[35.31321556]
226,347850500.0,83680000.0,101325.0,626.0,0.0,[0.],[36.23338589]
227,347850500.0,83680000.0,101325.00000000001,627.0,0.0,[0.],[37.17448306]
228,347850500.0,83680000.0,101325.0,628.0,0.0,[0.],[38.1369091]
229,347850500.0,83680000.0,101325.00000000001,629.0,0.0,[0.],[39.12107223]
230,347850500.0,83680000.0,101324.99999999999,630.0,0.0,[0.],[40.12738691]
231,347850500.0,83680000.0,101324.99999999999,631.0,0.0,[0.],[41.15627388]
232,347850500.0,83680000.0,101324.99999999999,632.0,0.0,[0.],[42.20816027]
233,347850500.0,83680000.0,101325.0,633.0,0.0,[0.],[43.28347965]
234,347850500.0,83680000.0,101325.0,634.0,0.0,[0.],[44.38267209]
235,347850500.0,83680000.0,101324.99999999999,635.0,0.0,[0.],[45.50618424]
236,347850500.0,83680000.0,101325.00000000001,636.0,0.0,[0.],[46.65446939]
237,347850500.0,83680000.0,101325.0,637.0,0.0,[0.],[47.82798755]
238,347850500.0,83680000.0,101324.99999999999,638.0,0.0,[0.],[49.0272055]
239,347850500.0,83680000.0,101325.0,639.0,0.0,[0.],[50.25259691]
240,347850500.0,83680000.0,101324.99999999999,640.0,0.0,[0.],[51.50464233]
241,347850500.0,83680000.0,101325.0,641.0,0.0,[0.],[52.78382932]
242,347850500.0,83680000.0,101325.0,642.0,0.0,[0.],[54.09065253]
243,347850500.0,83680000.0,101325.0,643.0,0.0,[0.],[55.4256137]
244,347850500.0,83680000.0,101325.0,644.0,0.0,[0.],[56.78922181]
245,347850500.0,83680000.0,101325.0,645.0,0.0,[0.],[58.18199312]
246,347850500.0,83680000.0,101324.99999999999,646.0,0.0,[0.],[59.60445122]
247,347850500.0,83680000.0,101324.99999999999,647.0,0.0,[0.],[61.05712713]
248,347850500.0,83680000.0,101325.00000000001,648.0,0.0,[0.],[62.54055939]
249,347850500.0,83680000.0,101325.00000000001,649.0,0.0,[0.],[64.05529407]
250,347850500.0,83680000.0,101325.0,650.0,0.0,[0.],[65.60188491]
251,347850500.0,83680000.0,101324.99999999999,651.0,0.0,[0.],[67.18089335]
252,347850500.0,83680000.0,101325.0,652.0,0.0,[0.],[68.79288863]
253,347850500.0,83680000.0,101325.0,653.0,0.0,[0.],[70.43844782]
254,347850500.0,83680000.0,101325.0,654.0,0.0,[0.],[72.11815597]
255,347850500.0,83680000.0,101325.0,655.0,0.0,[0.],[73.83260611]
256,347850500.0,83680000.0,101325.00000000003,656.0,0.0,[0.],[75.58239937]
257,347850500.0,83680000.0,101325.00000000001,657.0,0.0,[0.],[77.36814502]
258,347850500.0,83680000.0,101325.0,658.0,0.0,[0.],[79.19046059]
259,347850500.0,83680000.0,101324.99999999999,659.0,0.0,[0.],[81.04997189]
260,347850500.0,83680000.0,101324.99999999999,660.0,0.0,[0.],[82.94731313]
261,347850500.0,83680000.0,101325.0,661.0,0.0,[0.],[84.883127]
262,347850500.0,83680000.0,101324.99999999999,662.0,0.0,[0.],[86.85806468]
263,347850500.0,83680000.0,101324.99999999999,663.0,0.0,[0.],[88.872786]
264,347850500.0,83680000.0,101325.00000000001,664.0,0.0,[0.],[90.92795946]
265,347850500.0,83680000.0,101325.0,665.0,0.0,[0.],[93.02426233]
266,347850500.0,83680000.0,101325.00000000001,666.0,0.0,[0.],[95.16238073]
267,347850500.0,83680000.0,101325.0,667.0,0.0,[0.],[97.34300968]
268,347850500.0,83680000.0,101325.0,668.0,0.0,[0.],[99.5668532]
269,347850500.0,83680000.0,101325.0,669.0,0.0,[0.],[101.8346244]
270,347850500.0,83680000.0,101324.99999999999,670.0,0.0,[0.],[104.14704551]
271,347850500.0,83680000.0,101325.0,671.0,0.0,[0.],[106.50484802]
272,347850500.0,83680000.0,101325.00000000001,672.0,0.0,[0.],[108.9087727]
273,347850500.0,83680000.0,101325.0,673.0,0.0,[0.],[111.35956971]
274,347850500.0,83680000.0,101325.0,674.0,0.0,[0.],[113.85799867]
275,347850500.0,83680000.0,101325.0,675.0,0.0,[0.],[116.40482875]
276,347850500.0,83680000.0,101325.0,676.0,0.0,[0.],[119.00083873]
277,347850500.0,83680000.0,101324.99999999999,677.0,0.0,[0.],[121.64681708]
278,347850500.0,83680000.0,101324.99999999999,678.0,0.0,[0.],[124.34356206]
279,347850500.0,83680000.0,101325.0,679.0,0.0,[0.],[127.09188176]
280,347850500.0,83680000.0,101325.00000000001,680.0,0.0,[0.],[129.89259423]
281,347850500.0,83680000.0,101325.0,681.0,0.0,[0.],[132.74652751]
282,347850500.0,83680000.0,101325.00000000001,682.0,0.0,[0.],[135.65451975]
283,347850500.0,83680000.0,101325.0,683.0,0.0,[0.],[138.61741925]
284,347850500.0,83680000.0,101325.00000000001,684.0,0.0,[0.],[141.63608458]
285,347850500.0,83680000.0,101325.00000000001,685.0,0.0,[0.],[144.71138464]
286,347850500.0,83680000.0,101324.99999999999,686.0,0.0,[0.],[147.8441987]
287,347850500.0,83680000.0,101325.00000000001,687.0,0.0,[0.],[151.03541658]
288,347850500.0,83680000.0,101325.0,688.0,0.0,[0.],[154.28593862]
289,347850500.0,83680000.0,101325.00000000001,689.0,0.0,[0.],[157.59667583]
290,347850500.0,83680000.0,101325.0,690.0,0.0,[0.],[160.96854995]
291,347850500.0,83680000.0,101325.0,691.0,0.0,[0.],[164.40249352]
292,347850500.0,83680000.0,101325.00000000001,692.0,0.0,[0.],[167.89944998]
293,347850500.0,83680000.0,101324.99999999999,693.0,0.0,[0.],[171.46037373]
294,347850500.0,83680000.0,101325.0,694.0,0.0,[0.],[175.08623023]
295,347850500.0,83680000.0,101325.00000000001,695.0,0.0,[0.],[178.77799606]
296,347850500.0,83680000.0,101325.00000000001,696.0,0.0,[0.],[182.53665902]
297,347850500.0,83680000.0,101325.0,697.0,0.0,[0.],[186.3632182]
298,347850500.0,83680000.0,101325.00000000001,698.0,0.0,[0.],[190.25868405]
299,347850500.0,83680000.0,101325.0,699.0,0.0,[0.],[194.2240785]
300,347850500.0,83680000.0,101324.99999999999,700.0,0.0,[0.],[198.26043498]
301,347850500.0,83680000.0,101324.99999999999,701.0,0.0,[0.],[202.36879858]
302,347850500.0,83680000.0,101324.99999999999,702.0,0.0,[0.],[206.55022603]
303,347850500.0,83680000.0,101325.0,703.0,0.0,[0.],[210.80578588]
304,347850500.0,83680000.0,101325.00000000001,704.0,0.0,[0.],[215.13655852]
305,347850500.0,83680000.0,101325.0,705.0,0.0,[0.],[219.54363628]
306,347850500.0,83680000.0,101325.0,706.0,0.0,[0.],[224.02812351]
